ICAO,IATA,Airport Name,Mean TXI (mins),Standard Deviation,10th Pctl,Median,90th Pctl
BIKF,KEF,KEFLAVIK,7.1,3.7,5.0,6.0,10.0
BKPR,PRN,PRISTINA,4.9,1.6,4.0,5.0,6.0
CYUL,YUL,MONTREAL/DORVAL,7.9,4.6,4.0,7.0,13.0
CYVR,YVR,VANCOUVER INTL,6.3,1.8,5.0,6.0,8.0
CYYC,YYC,CALGARY INTL,5.1,1.5,3.0,5.0,7.0
CYYZ,YYZ,TORONTO INTL/L.B. PE,11.3,5.3,7.0,10.0,17.0
DAAG,ALG,ALGER,7.6,2.5,5.0,7.0,11.0
DABC,CZL,CONSTANTINE/MOHAMMED,5.0,1.2,4.0,5.0,6.0
DAOO,ORN,ORAN ES SENIA,6.6,1.9,5.0,6.0,9.0
DBBB,COO,COTONOU/CADJEHOUN,5.6,1.6,4.0,6.0,7.0
DFFD,OUA,OUAGADOUGOU,7.4,1.7,6.0,7.0,10.0
DGAA,ACC,ACCRA,4.6,1.9,3.0,4.0,7.0
DIAP,ABJ,ABIDJAN,5.3,2.3,3.0,4.0,8.0
DNAA,ABV,ABUJA,7.5,2.1,6.0,7.0,10.0
DNMM,LOS,LAGOS,9.9,3.8,6.0,10.0,14.0
DTMB,MIR,MONASTIR/HABIB BOURG,3.4,0.9,3.0,3.0,4.0
DTTA,TUN,TUNIS/CARTHAGE,4.7,1.9,4.0,5.0,6.0
DTTJ,DJE,DJERBA/ZARZIS,4.0,1.2,3.0,4.0,6.0
EBAW,ANR,ANTWERP ,4.0,0.9,3.0,4.0,5.0
EBBR,BRU,BRUSSELS,5.5,2.8,3.0,5.0,8.0
EBCI,CRL,CHARLEROI,6.0,3.6,4.0,6.0,8.0
EDDB,BER,BERLIN BRANDENBURG,5.8,2.6,4.0,5.0,8.0
EDDC,DRS,DRESDEN,3.6,1.2,2.0,3.0,5.0
EDDF,FRA,FRANKFURT,9.1,3.9,5.0,9.0,14.0
EDDG,FMO,MUENSTER-OSNABRUECK,4.7,1.1,3.0,5.0,6.0
EDDH,HAM,HAMBURG,5.3,1.8,3.0,5.0,7.0
EDDK,CGN,COLOGNE/BONN,6.8,3.3,4.0,6.0,10.0
EDDL,DUS,DUSSELDORF,4.3,1.8,3.0,4.0,6.0
EDDM,MUC,MUNICH,5.8,2.4,4.0,5.0,8.0
EDDN,NUE,NURENBERG,4.3,2.5,3.0,4.0,6.0
EDDP,LEJ,LEIPZIG/HALLE,5.9,2.3,3.0,6.0,8.0
EDDS,STR,STUTTGART,5.5,2.0,3.0,5.0,8.0
EDDV,HAJ,HANOVER,5.2,3.6,3.0,4.0,9.0
EDDW,BRE,BREMEN,4.0,2.3,3.0,4.0,5.0
EDFH,HHN,HAHN,6.5,5.1,4.0,6.0,8.0
EDJA,QOX,MEMMINGEN,5.2,3.6,3.0,5.0,7.0
EDLP,PAD,PADERBORN LIPPSTADT,4.3,3.2,3.0,4.0,6.0
EDLV,NRN,WEEZE,6.1,3.4,4.0,6.0,8.0
EDLW,DTM,DORTMUND-WICKEDE,6.8,3.6,4.0,7.0,9.0
EDNY,FDH,FRIEDRICHSHAFEN,4.8,1.6,3.0,5.0,7.0
EDSB,FKB,KARLSRUHE/BADEN-BADE,5.4,4.4,4.0,5.0,7.0
EETN,TLL,TALLINN/ULEMISTE,6.1,3.1,3.0,6.0,9.0
EFHK,HEL,HELSINKI-VANTAA,5.4,2.6,3.0,5.0,9.0
EFIV,IVL,IVALO,3.7,1.5,2.0,4.0,6.0
EFJO,JOE,JOENSUU,1.9,0.5,1.0,2.0,2.0
EFJY,JYV,JYVASKYLA,1.9,0.5,1.0,2.0,2.0
EFKE,KEM,KEMI-TORNIO,2.1,0.6,1.0,2.0,3.0
EFKI,KAJ,KAJAANI,3.1,0.9,2.0,3.0,4.0
EFKK,KOK,KRUUNUPYY,2.1,0.8,1.0,2.0,3.0
EFKS,KAO,KUUSAMO,3.0,1.6,2.0,3.0,4.0
EFKT,KTT,KITTILA,4.4,2.0,2.0,4.0,7.0
EFKU,KUO,KUOPIO,2.3,0.6,2.0,2.0,3.0
EFOU,OUL,OULU,3.3,1.0,2.0,3.0,4.0
EFRO,RVN,ROVANIEMI,5.0,3.2,3.0,4.0,8.0
EFTP,TMP,TAMPERE-PIRKKALA,4.4,1.7,3.0,4.0,7.0
EFTU,TKU,TURKU,4.3,2.0,2.0,4.0,7.0
EFVA,VAA,VAASA,2.8,1.3,2.0,3.0,4.0
EGAA,BFS,BELFAST/ALDERGROVE,5.0,2.6,3.0,5.0,7.0
EGAC,BHD,BELFAST/CITY AIRPORT,4.0,1.5,3.0,4.0,5.0
EGBB,BHX,BIRMINGHAM,5.9,3.0,4.0,6.0,8.0
EGCC,MAN,MANCHESTER,6.6,3.4,4.0,6.0,10.0
EGFF,CWL,CARDIFF,3.4,1.3,2.0,3.0,5.0
EGGD,BRS,BRISTOL/LULSGATE,4.8,2.1,3.0,5.0,6.0
EGGP,LPL,LIVERPOOL,4.3,2.7,3.0,4.0,6.0
EGGW,LTN,LONDON/LUTON,5.2,2.0,3.0,5.0,7.0
EGHH,BOH,BOURNEMOUTH/HURN,5.8,3.0,4.0,6.0,8.0
EGHI,SOU,SOUTHAMPTON,3.5,1.2,2.0,3.0,5.0
EGHQ,NQY,NEWQUAY CORNWALL,4.7,2.5,3.0,4.0,6.0
EGJJ,JER,JERSEY,4.2,1.4,3.0,4.0,6.0
EGKK,LGW,LONDON/GATWICK,7.6,2.8,5.0,7.0,10.0
EGLC,LCY,LONDON/CITY,4.1,2.0,2.0,4.0,6.0
EGLL,LHR,LONDON/HEATHROW,7.9,4.5,4.0,7.0,13.0
EGMC,SEN,SOUTHEND,5.5,3.4,3.0,5.0,7.0
EGNJ,HUY,HUMBERSIDE,3.4,1.0,2.0,4.0,4.0
EGNM,LBA,LEEDS AND BRADFORD,4.2,3.3,3.0,4.0,6.0
EGNS,IOM,ISLE OF MAN/RONALDSW,4.0,1.6,3.0,4.0,5.0
EGNT,NCL,NEWCASTLE,4.1,1.7,3.0,4.0,6.0
EGNV,MME,TEESSIDE,3.1,1.4,2.0,3.0,5.0
EGNX,EMA,EAST MIDLANDS,4.3,3.9,3.0,4.0,5.0
EGPD,ABZ,ABERDEEN,3.9,1.3,3.0,4.0,5.0
EGPE,INV,INVERNESS,4.0,1.6,2.0,3.0,6.0
EGPF,GLA,GLASGOW,4.6,2.3,3.0,4.0,6.0
EGPH,EDI,EDINBURGH,5.8,3.1,3.0,5.0,8.0
EGPK,PIK,PRESTWICK,5.0,4.8,1.0,4.0,8.0
EGSH,NWI,NORWICH,3.7,1.1,2.5,3.0,5.0
EGSS,STN,LONDON/STANSTED,7.4,4.3,5.0,7.0,10.0
EHAM,AMS,AMSTERDAM,9.3,4.9,4.0,9.0,15.0
EHBK,MST,MAASTRICHT/MAASTRICHT AACHEN,5.8,7.4,3.0,5.0,7.0
EHEH,EIN,EINDHOVEN,6.7,3.9,4.0,6.0,9.0
EICK,ORK,CORK,3.8,2.9,2.0,4.0,5.0
EIDW,DUB,DUBLIN,7.8,3.9,5.0,7.0,10.0
EIKN,NOC,CONNAUGHT,5.4,1.9,4.0,5.0,7.0
EIKY,KIR,KERRY/FARRANFORE,3.7,4.4,2.0,3.0,5.0
EINN,SNN,SHANNON,4.7,3.8,3.0,4.0,7.0
EKAH,AAR,AARHUS/TIRSTRUP,4.2,2.6,3.0,4.0,6.0
EKBI,BLL,BILLUND,4.6,2.4,3.0,4.0,6.0
EKCH,CPH,COPENHAGEN/KASTRUP,6.2,2.6,4.0,6.0,8.0
EKYT,AAL,AALBORG,4.6,2.0,3.0,4.0,6.0
ELLX,LUX,LUXEMBOURG,4.7,1.7,3.0,5.0,6.0
ENAL,AES,ALESUND/VIGRA,2.7,1.0,2.0,3.0,4.0
ENAN,ANX,ANDOYA/ANDENES,3.2,0.6,3.0,3.0,4.0
ENAT,ALF,ALTA,3.2,1.4,2.0,3.0,5.0
ENBL,FDE,FORDE/BRINGELAND,2.0,0.3,2.0,2.0,2.0
ENBN,BNN,BRONNOYSUND/BRONNOY,2.1,0.7,1.0,2.0,3.0
ENBO,BOO,BODO,2.7,2.3,2.0,2.0,4.0
ENBR,BGO,BERGEN/FLESLAND,3.4,1.3,2.0,3.0,5.0
ENBS,BJF,BATSFJORD,2.2,0.7,1.0,2.0,3.0
ENBV,BVG,BERLEVAG,1.8,0.8,1.0,2.0,3.0
ENCN,KRS,KRISTIANSAND/KJEVIK,3.6,0.9,3.0,4.0,5.0
ENDU,BDU,BARDUFOSS,4.1,1.2,3.0,4.0,5.0
ENEV,EVE,EVENES,3.0,1.3,2.0,3.0,5.0
ENFL,FRO,FLORO,1.9,0.8,1.0,2.0,3.0
ENGM,OSL,OSLO/GARDERMOEN,5.1,2.5,3.0,5.0,8.0
ENHD,HAU,HAUGESUND/KARMOY,2.7,1.0,1.0,3.0,4.0
ENHF,HFT,HAMMERFEST,2.8,0.6,2.0,3.0,3.0
ENHK,HAA,HASVIK,2.0,0.3,2.0,2.0,2.0
ENHV,HVG,HONNINGSVAG/VALAN,3.0,0.8,2.0,3.0,4.0
ENKB,KSU,KRISTIANSUND/KV,3.1,0.5,3.0,3.0,4.0
ENKR,KKN,KIRKENES/HOYBUKTMOEN,2.7,1.0,2.0,3.0,4.0
ENLK,LKN,LEKNES,2.0,0.3,2.0,2.0,2.0
ENMH,MEH,MEHAMN,1.9,0.6,1.0,2.0,2.0
ENML,MOL,MOLDE,2.8,0.9,2.0,3.0,4.0
ENMS,MJF,MOSJOEN/KJAERSTAD,2.1,0.5,2.0,2.0,3.0
ENNM,OSY,NAMSOS,2.9,0.4,3.0,3.0,3.0
ENOV,HOV,ORSTA-VOLDA/HOVDEN,1.9,0.8,1.0,2.0,3.0
ENRA,MQN,MO I RANA/ROSSVOLL,2.0,0.5,2.0,2.0,2.0
ENRM,RVK,RORVIK/RYUM,2.0,0.4,2.0,2.0,2.0
ENRO,RRS,ROROS,2.6,0.5,2.0,3.0,3.0
ENRS,RET,ROST,1.7,0.7,1.0,2.0,3.0
ENSB,LYR,SVALBARD/LONGYEAR,3.5,1.2,2.0,3.0,5.0
ENSD,SDN,SANDANE/ANDA,2.2,0.6,2.0,2.0,3.0
ENSG,SOG,SOGNDAL/HAUKASEN,2.6,1.2,2.0,3.0,4.0
ENSH,SVJ,SVOLVAER/HELLE,1.9,1.4,1.0,2.0,3.0
ENSK,SKN,STOKMARKNES/SKAGEN,1.6,0.8,1.0,2.0,2.0
ENSR,SOJ,SORKJOSEN,1.5,0.5,1.0,1.0,2.0
ENSS,VAW,VARDO/SVARTNES,1.9,0.6,1.0,2.0,3.0
ENST,SSJ,SANDNESSJOEN/STOKKA,2.0,0.4,2.0,2.0,2.0
ENTC,TOS,TROMSO/LANGNES,3.1,1.8,2.0,3.0,5.0
ENTO,TRF,SANDEFJORD/TORP,4.4,2.3,2.0,4.0,7.0
ENVA,TRD,TRONDHEIM/VAERNES,2.9,1.1,2.0,3.0,4.0
ENVD,VDS,VADSO,2.1,0.6,1.0,2.0,3.0
ENZV,SVG,STAVANGER/SOLA,3.9,1.3,3.0,4.0,5.0
EPBY,BZG,BYDGOSZCZ,5.7,5.2,3.0,5.0,7.0
EPGD,GDN,GDANSK/REBIECHOWO,4.1,2.2,3.0,4.0,6.0
EPKK,KRK,KRAKOW/BALICE,7.2,3.2,4.0,7.0,9.0
EPKT,KTW,KATOWICE/PYRZOWICE,5.6,3.8,4.0,5.0,7.0
EPLL,LCJ,LODZ/LUBLINEK,5.9,4.3,4.0,6.0,8.0
EPMO,WMI,MODLIN WARSAW,5.3,4.1,3.0,5.0,7.0
EPPO,POZ,POZNAN/LAWICA,4.7,2.2,3.0,5.0,6.0
EPRZ,RZE,RZESZOW/JASIONKA,4.0,2.3,3.0,4.0,5.0
EPSC,SZZ,SZCZECIN/GOLENIOW,4.4,2.7,3.0,4.0,6.0
EPSY,SZY,MAZURY,3.6,1.1,2.0,3.0,5.0
EPWA,WAW,WARSAW/OKECIE,4.5,2.2,3.0,4.0,7.0
EPWR,WRO,WROCLAW/STRACHOWICE,4.4,2.7,3.0,4.0,6.0
EPZG,IEG,ZIELONA GORA/BABIMOS,4.5,1.6,3.0,4.0,6.0
ESDF,RNB,RONNEBY/KALLINGE,3.2,0.8,3.0,3.0,4.0
ESGG,GOT,GOTENBORG/LANDVETTER,4.6,2.0,3.0,4.0,6.0
ESMS,MMX,MALMOE/STURUP,4.8,1.3,3.0,5.0,6.0
ESNN,SDL,SUNDSVALL-HÄRNÖSAND,3.0,0.7,2.0,3.0,4.0
ESNQ,KRN,KIRUNA,4.0,1.0,3.0,4.0,5.0
ESNS,SFT,SKELLEFTEA,3.2,1.3,2.0,3.0,4.0
ESNU,UME,UMEA,3.8,1.0,3.0,4.0,5.0
ESNZ,OSD,OSTERSUND,4.5,1.3,3.0,5.0,6.0
ESOE,ORB,OREBRO,4.2,5.0,3.0,3.0,6.0
ESPA,LLA,LULEA/KALLAX,4.0,1.3,3.0,4.0,6.0
ESSA,ARN,STOCKHOLM/ARLANDA,6.2,3.0,4.0,6.0,9.0
ESSB,BMA,STOCKHOLM-BROMMA,3.0,0.8,2.0,3.0,4.0
ESSL,LPI,LINKOPING/MALMEN,3.5,1.1,2.0,3.0,5.0
ESSV,VBY,VISBY,2.3,0.8,1.0,2.0,3.0
ESTA,AGH,ANGELHOLM,3.5,1.2,2.0,3.0,5.0
EVRA,RIX,RIGA INTL,4.8,1.8,3.0,4.0,7.0
EYKA,KUN,KAUNAS INTL,4.9,3.9,3.0,4.0,7.0
EYPA,PLQ,PALANGA INTL,4.9,1.3,3.0,5.0,7.0
EYVI,VNO,VILNIUS INTL,5.6,2.9,3.0,5.0,8.0
FACT,CPT,CAPE TOWN,7.7,3.0,5.0,7.0,11.0
FAOR,JNB,JOHANNESBURG/O.R. TAMBO INTERNATINAL,9.4,3.4,5.0,9.0,14.0
FIMP,MRU,MAURITIUS PLAISANCE,8.1,4.0,6.0,7.0,10.0
FKKD,DLA,DOUALA,5.8,1.8,4.0,6.0,8.0
FKYS,NSI,YAOUNDE/NSIMALEN,5.2,3.4,3.0,4.0,9.0
FMEE,RUN,REUNION ISLAND INTL/,6.0,1.9,4.0,5.0,8.0
FNLU,LAD,"LUANDA, ANGOLA",10.0,2.4,7.0,9.0,13.0
FOOL,LBV,LIBREVILLE,6.6,2.2,4.0,7.0,9.0
FZAA,FIH,KINSHASA/N'DJILI INT,6.4,2.6,4.0,6.0,10.0
GABS,BKO,BAMAKO VILLE,5.2,2.3,3.0,4.0,8.0
GBYD,BJL,BANJUL,5.1,2.2,3.0,4.0,9.0
GCFV,FUE,FUERTEVENTURA,4.4,2.2,3.0,4.0,6.0
GCGM,GMZ,LA GOMERA,3.0,1.0,2.0,3.0,4.0
GCHI,VDE,HIERRO,3.3,0.7,3.0,3.0,4.0
GCLA,SPC,LA PALMA,3.6,1.1,3.0,4.0,5.0
GCLP,LPA,LAS PALMAS,4.5,2.4,3.0,4.0,7.0
GCRR,ACE,ARRECIFE LANZAROTE,4.2,2.3,3.0,4.0,6.0
GCTS,TFS,TENERIFE SUR/REINA SOFIA,5.2,2.8,4.0,5.0,7.0
GCXO,TFN,TENERIFE NORTE,3.7,1.9,2.0,3.0,5.0
GMAD,AGA,AGADIR/AL-MASSIRA,4.6,1.3,3.0,4.0,6.0
GMFF,FEZ,FES/SAISS,3.7,1.9,3.0,3.0,5.0
GMFO,OUD,OUJDA,6.7,4.3,4.0,6.0,9.0
GMME,RBA,RABAT/SALE,5.0,2.0,4.0,5.0,6.0
GMMN,CMN,CASABLANCA/MOHAMMED,5.7,2.6,3.0,5.0,9.0
GMMW,NDR,NADOR,4.6,3.2,3.0,4.0,6.0
GMMX,RAK,MARRAKECH,5.2,3.4,3.0,5.0,8.0
GMTT,TNG,TANGER/BOUKHALF,6.5,5.3,4.0,6.0,8.0
GOBD,DSS,DAKAR - BLAISE DIAGNE,5.6,1.9,4.0,5.0,8.0
GQNO,NKC,NOUAKCHOTT-OUMTOUNSY,5.3,1.7,4.0,5.0,7.0
GVAC,SID,AMILCAR CABRAL,4.8,1.5,4.0,4.0,6.0
GVBA,BVC,BOAVISTA,4.4,1.1,3.0,4.0,5.0
GVNP,RAI,NEW PRAIA AIRPORT,3.2,0.9,2.0,3.0,4.0
GVSV,VXE,SAO PEDRO/CESARIA EVORA INTERNATIONAL,3.6,1.4,2.0,3.0,5.0
HAAB,ADD,ADDIS ABABA/LIDDETTA,10.9,3.7,7.0,10.0,15.0
HDAM,JIB,DIJBOUTI AMBOULI,6.8,2.1,4.0,7.0,9.0
HEBA,HBE,BORG EL ARAB INTERNATIONAL,6.2,2.1,4.0,5.0,10.0
HECA,CAI,CAIRO,8.7,3.8,5.0,8.0,14.0
HEGN,HRG,HURGHADA,5.7,1.9,4.0,5.0,8.0
HEMA,RMF,MARSA ALAM INTL,4.8,1.3,3.0,5.0,6.0
HESH,SSH,SHARM EL SHEIKH,4.9,1.5,3.0,5.0,7.0
HKJK,NBO,NAIROBI,9.6,2.4,7.0,9.0,13.0
HTDA,DAR,DAR-ES-SALAAM,6.0,2.3,4.0,5.0,9.0
KATL,ATL,ATLANTA INTL/HARTSFI,12.5,6.8,8.0,11.0,18.0
KBOS,BOS,BOSTON,9.5,5.9,6.0,8.0,14.0
KCLT,CLT,CHARLOTTE,10.4,9.1,4.0,7.0,19.0
KDEN,DEN,DENVER INTERNATIONAL,11.1,3.0,8.0,11.0,14.0
KDFW,DFW,DALLAS/FORT WORTH,11.7,7.4,5.0,10.0,20.0
KDTW,DTW,DETROIT/METROPOL WAY,9.9,2.6,7.0,9.0,13.0
KEWR,EWR,NEWARK,9.3,5.2,6.0,8.0,14.0
KIAD,IAD,WASHINGTON,6.9,2.5,4.0,6.0,10.0
KIAH,IAH,HOUSTON INTL/TEXAS,9.2,3.8,5.0,9.0,14.0
KJFK,JFK,NEW YORK,13.6,7.4,7.0,12.0,22.0
KLAX,LAX,LOS ANGELES,10.3,5.9,6.0,9.0,15.0
KMCO,MCO,ORLANDO INTERNATIONAL,15.1,7.2,9.0,14.0,21.0
KMIA,MIA,MIAMI INTL/FLORIDA,13.0,11.4,5.0,9.0,26.0
KORD,ORD,CHICAGO O HARE INTL,13.3,6.7,8.0,12.0,19.0
KPHL,PHL,PHILADELPHIA,6.2,3.7,4.0,5.0,9.0
KPHX,PHX,PHOENIX INTL/ARIZONA,7.8,6.6,4.0,7.0,12.0
KSEA,SEA,SEATTLE/TACOMA INTL,8.0,4.8,4.0,7.0,12.0
KSFO,SFO,SAN FRANCISCO,10.6,4.3,6.0,10.0,15.0
LATI,TIA,TIRANA,5.2,2.9,3.0,5.0,8.0
LBPD,PDV,PLOVDIV INTERNATIONAL,4.8,1.7,3.0,5.0,7.0
LBSF,SOF,SOFIA,5.2,3.3,3.0,5.0,7.0
LBWN,VAR,VARNA,5.7,1.3,5.0,5.0,8.0
LCLK,LCA,LARNACA,4.7,1.7,3.0,4.0,7.0
LCPH,PFO,PAPHOS,4.7,4.6,3.0,4.0,6.0
LDSP,SPU,SPLIT,3.9,1.0,3.0,4.0,5.0
LDZA,ZAG,ZAGREB,5.9,2.7,3.0,5.0,9.0
LEAL,ALC,ALICANTE,5.9,3.1,4.0,5.0,8.0
LEAM,LEI,ALMERIA,5.7,1.3,4.0,5.0,7.0
LEAS,OVD,ASTURIAS,4.6,1.9,3.0,4.0,6.0
LEBB,BIO,BILBAO,4.6,1.6,3.0,4.0,6.0
LEBL,BCN,BARCELONA,5.2,3.3,3.0,5.0,8.0
LECO,LCG,LA CORUNA,3.8,1.1,3.0,4.0,5.0
LEGE,GRO,GERONA,4.1,4.9,3.0,4.0,5.0
LEGR,GRX,GRANADA,4.4,1.3,3.0,4.0,6.0
LEIB,IBZ,IBIZA,4.3,1.8,3.0,4.0,6.0
LEJR,XRY,JEREZ DE LA FRONTERA,4.6,1.2,3.0,5.0,6.0
LEMD,MAD,MADRID/BARAJAS,9.6,4.2,5.0,9.0,15.0
LEMG,AGP,MALAGA,5.3,2.6,3.0,5.0,8.0
LEMH,MAH,MAHON,4.0,1.3,2.0,4.0,5.0
LEMI,RMU,REGION DE MURCIA,4.5,4.6,3.0,4.0,5.0
LEPA,PMI,PALMA DE MALLORCA,4.9,2.4,3.0,5.0,7.0
LESO,EAS,SAN SEBASTIAN,4.9,1.7,3.0,5.0,7.0
LEST,SCQ,SANTIAGO,5.2,4.0,3.0,5.0,8.0
LEVC,VLC,VALENCIA,5.1,3.3,3.0,5.0,7.0
LEVD,VLL,VALLADOLID,6.1,1.9,4.0,6.0,8.0
LEVT,VIT,VITORIA,4.7,1.1,3.0,5.0,6.0
LEVX,VGO,VIGO,3.7,1.6,3.0,3.0,5.0
LEXJ,SDR,SANTANDER,4.6,2.3,3.0,4.0,6.0
LEZG,ZAZ,ZARAGOZA,6.3,1.9,4.0,6.0,8.0
LEZL,SVQ,SEVILLA,4.1,2.7,3.0,4.0,6.0
LFBD,BOD,BORDEAUX/MERIGNAC,4.8,2.2,3.0,5.0,6.0
LFBH,LRH,LA ROCHELLE LALEU,5.1,1.2,4.0,5.0,6.0
